arm,tstart,steps,nfe,depth,n,cfg_tar,run,lpaps,lpaps_sem,clap,clap_sem,muq,muq_sem,clap_dir,clap_dir_sem,mulan_dir,mulan_dir_sem
ODEInv w/ LoRA bw,99,396,300,25,115,14.0,stableaudio_odeinvlora_saocos_r8_a4_lr5e-5_checkpoint_step_4000_genhparam_nfe300_t99_s396_cfgtar14.0,1.9711000892303991,0.03789354828634412,0.23154590204857503,0.010609764240240727,0.15026906668815923,0.01219954602046595,0.06706950053491668,0.011670547490447167,0.08419912974957539,0.01599039014296293
ODEInv w/ LoRA bw,99,198,300,50,115,14.0,stableaudio_odeinvlora_saocos_r8_a4_lr5e-5_checkpoint_step_4000_genhparam_nfe300_t99_s198_cfgtar14.0,4.7515413206038275,0.0616215808069942,0.3261366083046449,0.009002497994299186,0.2877444561773344,0.014093863734594203,0.192980034009594,0.014143506846654816,0.18269198166368447,0.018001233939946196
ODEInv w/ LoRA bw,99,132,300,75,115,14.0,stableaudio_odeinvlora_saocos_r8_a4_lr5e-5_checkpoint_step_4000_genhparam_nfe300_t99_s132_cfgtar14.0,5.411567076358242,0.0647357492382259,0.33490248032494624,0.00853245355109823,0.3137448529186456,0.013139237085087402,0.20573843967817398,0.014187007110790033,0.19875608366792616,0.016949153419825412
ODEInv w/ LoRA bw,99,100,300,99,115,14.0,stableaudio_odeinvlora_saocos_r8_a4_lr5e-5_checkpoint_step_4000_genhparam_nfe300_t99_s100_cfgtar14.0,5.455845318021981,0.06446783042828147,0.3215490868186875,0.009142277868039339,0.30322526046277387,0.012390232479743654,0.2072967904093473,0.013512642390329066,0.19581095088759196,0.017880947462943244
SDEdit,150,600,300,25,115,3.5,stableaudio_sdedit_nolora_genhparam_nfe300_t150_s600_cfgtar3.5,3.676528535493906,0.041883217415451465,0.1996920549874936,0.010805043710928802,0.12156778462231159,0.012397873119358317,0.03295280981565946,0.011941225772784878,0.0508906667161247,0.0144388989864668
SDEdit,150,300,300,50,115,3.5,stableaudio_sdedit_nolora_genhparam_nfe300_t150_s300_cfgtar3.5,5.673691357685172,0.04609154222106225,0.31737841380949033,0.0088967071331646,0.2519372117806874,0.013491537105475432,0.16012643046029237,0.014215562223225082,0.18683593133059534,0.016350683426177497
SDEdit,150,200,300,75,115,3.5,stableaudio_sdedit_nolora_genhparam_nfe300_t150_s200_cfgtar3.5,6.151565656869307,0.04401006160338204,0.32983903338511783,0.008668609507947945,0.27627544912266666,0.012488818416064149,0.19605657742561206,0.014944473916954418,0.1932141204567059,0.016854997584852087
SDEdit,150,150,300,100,115,3.5,stableaudio_sdedit_nolora_genhparam_nfe300_t150_s150_cfgtar3.5,6.176086403338805,0.043989876284528155,0.32930460287878904,0.008528667484277337,0.28135277953646753,0.012858213269856986,0.20317885873272368,0.014524538925007721,0.20054130435961745,0.017654354704332024
SDEdit,150,600,300,25,115,7.0,stableaudio_sdedit_nolora_genhparam_nfe300_t150_s600_cfgtar7.0,3.7420021207954575,0.043361059537648426,0.21899390515021006,0.010724530495013788,0.1437853112857303,0.012787696951415633,0.05149206955633732,0.013118098592734816,0.08116447012061657,0.01584734843836298
SDEdit,150,300,300,50,115,7.0,stableaudio_sdedit_nolora_genhparam_nfe300_t150_s300_cfgtar7.0,5.766579927534297,0.044796914358928144,0.34451731864578905,0.008933464306036459,0.2934409458908941,0.013917841414976255,0.1893490326874282,0.015201369425728061,0.20828959076138942,0.01665758595803608
SDEdit,150,200,300,75,115,7.0,stableaudio_sdedit_nolora_genhparam_nfe300_t150_s200_cfgtar7.0,6.181344727744227,0.04383322699082948,0.3395215932225836,0.008407015323730735,0.30810743281820224,0.013013133497982367,0.2040368747452031,0.014925001817077049,0.2075765551513304,0.01731441834250537
SDEdit,150,150,300,100,115,7.0,stableaudio_sdedit_nolora_genhparam_nfe300_t150_s150_cfgtar7.0,6.204453043626701,0.043176027472335364,0.3367957233653769,0.008281557636371825,0.3072044011367404,0.013044672378973967,0.19815685524726692,0.014850176910997631,0.21277971479879773,0.01736257960988254
SDEdit,150,600,300,25,115,10.5,stableaudio_sdedit_nolora_genhparam_nfe300_t150_s600_cfgtar10.5,3.8250197428724033,0.04520217764646205,0.23597617649257288,0.010571529665739316,0.1602145759064866,0.012795674885333331,0.0653650628402829,0.013523002397244965,0.10252906586165011,0.017220259298974767
SDEdit,150,300,300,50,115,10.5,stableaudio_sdedit_nolora_genhparam_nfe300_t150_s300_cfgtar10.5,5.8632243337838545,0.04086315597245171,0.34887777050403684,0.009436428237085404,0.3081433042721904,0.014271296558342835,0.1964061564968332,0.015143327811864081,0.21848525903390154,0.016410453975691446
SDEdit,150,200,300,75,115,10.5,stableaudio_sdedit_nolora_genhparam_nfe300_t150_s200_cfgtar10.5,6.214768782301226,0.042700296833371176,0.34621553596757026,0.007594642199933487,0.32126018896536984,0.013499247739300328,0.20558105076298766,0.014132176469629321,0.2176731049042681,0.016977128979999607
SDEdit,150,150,300,100,115,10.5,stableaudio_sdedit_nolora_genhparam_nfe300_t150_s150_cfgtar10.5,6.21605191635049,0.04331831284025099,0.3384527237162642,0.008142517985279613,0.307954673776808,0.01353767450889229,0.1987305483294894,0.01523200676612289,0.21205344605057136,0.017095191270040232
SDEdit,150,600,300,25,115,14.0,stableaudio_sdedit_nolora_genhparam_nfe300_t150_s600_cfgtar14.0,3.9106254648298453,0.04617982862388534,0.2504212462864276,0.010491874227172347,0.17278937081522916,0.013072277087372602,0.07798178389101573,0.0135898254817997,0.11417322754455002,0.017886473201060734
SDEdit,150,300,300,50,115,14.0,stableaudio_sdedit_nolora_genhparam_nfe300_t150_s300_cfgtar14.0,5.927067829456881,0.04108139597440289,0.354436847159666,0.009231050065466715,0.3224853883780863,0.013854223519776679,0.2003387041227973,0.014966480864636731,0.2231256172263428,0.016872895427576758
SDEdit,150,200,300,75,115,14.0,stableaudio_sdedit_nolora_genhparam_nfe300_t150_s200_cfgtar14.0,6.233198128195777,0.04287939011398279,0.34532830976381684,0.00844845233455417,0.32507515411581034,0.012996123943242222,0.20754643197616804,0.014066092862446127,0.22022935126543694,0.015927954335494182
SDEdit,150,150,300,100,115,14.0,stableaudio_sdedit_nolora_genhparam_nfe300_t150_s150_cfgtar14.0,6.236470894053363,0.04315829842572859,0.34602483441378334,0.008977212287405143,0.32547462433121044,0.012648226693184316,0.20353828952850206,0.014516471268781353,0.22250775351472524,0.016933714551139463
