,train audio,benchmark audio
DDPM Inv.,2.99,2.863
ODE Inv.,3.42,3.507
"ODE Inv.
w/ LoRA",3.275,3.43
"ODE Inv.
w/ Real-Audio-LoRA",3.664,5.337
