,mel_psnr,mel_ssim,lpaps,clap_src
DDPM-inv,23.318848661653117,0.7091476178917367,2.863378120093119,0.22548669951258318
"ODEInv, no LoRA",22.21649908843084,0.648699523353138,3.5073269920689714,0.21012361722732223
ODEInv + trajectory LoRA,22.29810675649809,0.6628385606180507,3.430498055049352,0.203344763950223
ODEInv + real-fwd-noise LoRA,15.577327552875243,0.44113959776069056,5.336527653308142,0.07598079044904027
