checkpoint,tstart,cfg_tar,metric,delta,ci95,p,better,n_better,n
sao_r8_a4_lr5e-5_checkpoint_step_18000,25,3.5,lpaps,-0.012707138476164472,0.004939737995979075,1.7517056404191503e-06,lower,84,115
sao_r8_a4_lr5e-5_checkpoint_step_18000,25,7.0,lpaps,-0.023743412701979907,0.010626163268471248,2.6542212382098403e-05,lower,82,115
sao_r8_a4_lr5e-5_checkpoint_step_18000,50,7.0,lpaps,-0.0020284090525862705,0.008955077382187775,0.6579142209192415,lower,57,115
sao_r8_a4_lr5e-5_checkpoint_step_18000,50,3.5,lpaps,-0.004668520689010614,0.007925320829875378,0.25068298159458957,lower,64,115
sao_r8_a4_lr5e-5_checkpoint_step_18000,75,7.0,lpaps,0.0011976684349170835,0.007533599095153495,0.755917627320078,lower,67,115
sao_r8_a4_lr5e-5_checkpoint_step_18000,75,3.5,lpaps,-0.004817629551541971,0.00699088500306966,0.17946814960315424,lower,67,115
sao_r8_a4_lr5e-5_checkpoint_step_18000,100,3.5,lpaps,-0.003534122619076034,0.008097488509522357,0.39410434277667594,lower,68,115
sao_r8_a4_lr5e-5_checkpoint_step_18000,100,7.0,lpaps,-0.008765812853108259,0.008784420679347416,0.052929576827980274,lower,71,115
sao_r8_a4_lr5e-5_checkpoint_step_18000_ema,25,3.5,lpaps,-0.012728666550871267,0.004969876280571877,1.924787455467627e-06,lower,84,115
sao_r8_a4_lr5e-5_checkpoint_step_18000_ema,25,7.0,lpaps,-0.023901307565578518,0.010927743698680208,3.8075083979803204e-05,lower,81,115
sao_r8_a4_lr5e-5_checkpoint_step_18000_ema,50,7.0,lpaps,-0.0015666023199109277,0.009039071821823065,0.7347101841335358,lower,57,115
sao_r8_a4_lr5e-5_checkpoint_step_18000_ema,50,3.5,lpaps,-0.004659662834112233,0.008012231920011775,0.2567278647507623,lower,63,115
sao_r8_a4_lr5e-5_checkpoint_step_18000_ema,75,7.0,lpaps,0.0006883677537890605,0.007306101839349308,0.8538178250231203,lower,67,115
sao_r8_a4_lr5e-5_checkpoint_step_18000_ema,75,3.5,lpaps,-0.004754929680755178,0.006919886920898938,0.18071794162153448,lower,67,115
sao_r8_a4_lr5e-5_checkpoint_step_18000_ema,100,3.5,lpaps,-0.003667452266250844,0.00836484990232729,0.3919592547160523,lower,67,115
sao_r8_a4_lr5e-5_checkpoint_step_18000_ema,100,7.0,lpaps,-0.007807468607805776,0.00878229871061474,0.08412804368051857,lower,69,115
sao_r8_a4_lr5e-5_checkpoint_step_18000,25,3.5,psnr,0.2604789908931841,0.04094385265746189,4.9276052243814574e-23,higher,107,115
sao_r8_a4_lr5e-5_checkpoint_step_18000,25,7.0,psnr,0.19733537721954747,0.06238865564339092,9.31576271056744e-09,higher,90,115
sao_r8_a4_lr5e-5_checkpoint_step_18000,50,7.0,psnr,-0.03396180381537456,0.039972898224173985,0.09860747902727098,higher,37,115
sao_r8_a4_lr5e-5_checkpoint_step_18000,50,3.5,psnr,-0.02221948528330778,0.045929711203431,0.3450373298144245,higher,63,115
sao_r8_a4_lr5e-5_checkpoint_step_18000,75,7.0,psnr,-0.04048830857513925,0.03310858958451618,0.018161538246398528,higher,48,115
sao_r8_a4_lr5e-5_checkpoint_step_18000,75,3.5,psnr,-0.05800314812466394,0.047632190123153645,0.01864409993855058,higher,45,115
sao_r8_a4_lr5e-5_checkpoint_step_18000,100,3.5,psnr,-0.049974821094418996,0.057795763325346694,0.09284867739841882,higher,40,115
sao_r8_a4_lr5e-5_checkpoint_step_18000,100,7.0,psnr,-0.03970288955306878,0.043895743669133756,0.07893542881691727,higher,46,115
sao_r8_a4_lr5e-5_checkpoint_step_18000_ema,25,3.5,psnr,0.26394347596070594,0.04106255919815416,2.4819444549487063e-23,higher,108,115
sao_r8_a4_lr5e-5_checkpoint_step_18000_ema,25,7.0,psnr,0.20147767542308162,0.0651283182836023,1.7725618078210228e-08,higher,92,115
sao_r8_a4_lr5e-5_checkpoint_step_18000_ema,50,7.0,psnr,-0.03487870089074605,0.03950940974777163,0.08628677522320692,higher,41,115
sao_r8_a4_lr5e-5_checkpoint_step_18000_ema,50,3.5,psnr,-0.02045174299322652,0.04601719183127181,0.3855321808988058,higher,61,115
sao_r8_a4_lr5e-5_checkpoint_step_18000_ema,75,7.0,psnr,-0.03684145594259503,0.0324643629248662,0.02810069109451997,higher,47,115
sao_r8_a4_lr5e-5_checkpoint_step_18000_ema,75,3.5,psnr,-0.05541362385019424,0.047937983553956766,0.025360988889122592,higher,45,115
sao_r8_a4_lr5e-5_checkpoint_step_18000_ema,100,3.5,psnr,-0.046716587610283876,0.058957263857002146,0.1231792503441816,higher,43,115
sao_r8_a4_lr5e-5_checkpoint_step_18000_ema,100,7.0,psnr,-0.03888641186561852,0.04409965110352003,0.08664228034854297,higher,46,115
sao_r8_a4_lr5e-5_checkpoint_step_18000,25,3.5,clap,-0.0023449590282541718,0.0011614533302895024,0.00013222271021745498,higher,35,115
sao_r8_a4_lr5e-5_checkpoint_step_18000,25,7.0,clap,-0.002968645520994192,0.001738367918009158,0.0011066835877210266,higher,37,115
sao_r8_a4_lr5e-5_checkpoint_step_18000,50,7.0,clap,-0.0018035851756407796,0.0015515027679596093,0.024562292378102375,higher,41,115
sao_r8_a4_lr5e-5_checkpoint_step_18000,50,3.5,clap,-0.0020809679435215183,0.0013971279413350043,0.0042278160808474794,higher,41,115
sao_r8_a4_lr5e-5_checkpoint_step_18000,75,7.0,clap,-0.0009087104536592988,0.0018822186495532237,0.346016241128306,higher,50,115
sao_r8_a4_lr5e-5_checkpoint_step_18000,75,3.5,clap,-0.0029807096627959325,0.0014608976657796927,0.00011331449110741233,higher,40,115
sao_r8_a4_lr5e-5_checkpoint_step_18000,100,3.5,clap,-0.0026129081640122644,0.0014691401052399301,0.0006972724054530522,higher,34,115
sao_r8_a4_lr5e-5_checkpoint_step_18000,100,7.0,clap,-0.0019930994920972483,0.003226977233214787,0.2285649422155648,higher,52,115
sao_r8_a4_lr5e-5_checkpoint_step_18000_ema,25,3.5,clap,-0.00240648706281639,0.001168231811541975,9.823927523120014e-05,higher,35,115
sao_r8_a4_lr5e-5_checkpoint_step_18000_ema,25,7.0,clap,-0.003003197775451811,0.0017870178820843581,0.0013166211532939535,higher,39,115
sao_r8_a4_lr5e-5_checkpoint_step_18000_ema,50,7.0,clap,-0.0016971101995179663,0.0015430531619607234,0.033210491739464915,higher,40,115
sao_r8_a4_lr5e-5_checkpoint_step_18000_ema,50,3.5,clap,-0.002025292736842582,0.0013996305240791056,0.0054044641360671015,higher,42,115
sao_r8_a4_lr5e-5_checkpoint_step_18000_ema,75,7.0,clap,-0.0009520427261789636,0.0018059315428120982,0.3036674632331149,higher,46,115
sao_r8_a4_lr5e-5_checkpoint_step_18000_ema,75,3.5,clap,-0.0030522684612567896,0.0014414470698874912,6.428083365901015e-05,higher,38,115
sao_r8_a4_lr5e-5_checkpoint_step_18000_ema,100,3.5,clap,-0.002630451314853157,0.001443641420252691,0.0005214275897774003,higher,34,115
sao_r8_a4_lr5e-5_checkpoint_step_18000_ema,100,7.0,clap,-0.002176939467697041,0.003352590478592813,0.2057183252894044,higher,50,115
