checkpoint,tstart,cfg_tar,metric,delta,ci95,p,better,n_better,n
saocos_r8_a4_lr5e-5_checkpoint_step_4000,75,7.0,clap,0.0017090166115836442,0.003487009396749742,0.338778965808334,higher,63,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000,75,3.5,clap,0.005022434840059788,0.0025166814900346624,0.0001563285559088527,higher,78,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000,99,3.5,clap,0.005254190828165282,0.0023418505340582125,2.4730661625735656e-05,higher,77,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000,99,7.0,clap,0.003892988205441958,0.0027295463558513287,0.006083674916780481,higher,67,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000_ema,25,3.5,clap,-0.0009983746118951509,0.001345478848049878,0.1485935461192813,higher,55,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000_ema,25,7.0,clap,-0.001816097784760423,0.0013932844342424704,0.011943038593110609,higher,56,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000_ema,50,7.0,clap,0.0033019167566806945,0.0026848457594868948,0.01753048705151188,higher,71,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000_ema,50,3.5,clap,-0.00011020179325039278,0.003354198553587802,0.9487680437523699,higher,55,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000_ema,75,7.0,clap,0.0017325556459094314,0.0033875619654303545,0.3182568059621896,higher,61,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000_ema,75,3.5,clap,0.00485182792326246,0.0024393337290541206,0.0001639459431931491,higher,78,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000_ema,99,3.5,clap,0.004681955137006618,0.002232364952107549,7.465931965721837e-05,higher,78,115
saocos_r8_a4_lr5e-5_checkpoint_step_4000_ema,99,7.0,clap,0.003532330704232056,0.002827064337859153,0.015849434894475198,higher,71,115
