mode,tstart,cfg_tar,n,lpaps,lpaps_sem,psnr,ssim,clap,clap_sem,muq,muq_sem,clap_dir,muq_dir,run
ddim,50,3.0,115,3.8833826294695615,0.04136776624822232,19.29409664358827,0.6924255697738976,0.25552238984449954,0.011412379599997045,0.1740914182049101,0.01686228311804562,0.026127747529307778,0.11965661167126634,audioldm2_ddim_hparam_cfgsrc3.0_cfgtar3.0_t50_s200
ddim,50,6.0,115,3.903432833388232,0.04183319423073432,19.270039743227468,0.6873221506120382,0.26511931213448076,0.011403030242261636,0.18503302719403544,0.016768848200359135,0.03937116758088053,0.13979863181872212,audioldm2_ddim_hparam_cfgsrc3.0_cfgtar6.0_t50_s200
ddim,50,12.0,115,4.014801145286047,0.04348605115929625,19.184096138604954,0.6716900648400556,0.28159240572063504,0.011307146675327322,0.20338088373208177,0.016586110691738435,0.06278374548596531,0.17778067377841342,audioldm2_ddim_hparam_cfgsrc3.0_cfgtar12.0_t50_s200
ddim,50,18.0,115,4.1424738349677614,0.04445735590423189,19.07257233250852,0.6527474599223935,0.29181448016400546,0.011138045685299696,0.21718094688485903,0.016386591586795663,0.07919998719640399,0.20926883674996055,audioldm2_ddim_hparam_cfgsrc3.0_cfgtar18.0_t50_s200
ddim,100,3.0,115,4.263304635219693,0.05189579790889823,19.163124025403683,0.667344969618244,0.29771031100707857,0.010765610747420228,0.21153891708944803,0.015868872756242505,0.11980556673977683,0.24905961924435005,audioldm2_ddim_hparam_cfgsrc3.0_cfgtar3.0_t100_s200
ddim,100,6.0,115,4.466590902889244,0.05498298368152162,18.96795051113552,0.6365654380980059,0.3367494292964476,0.009941834903361648,0.2714200944437281,0.01641425972859896,0.17105843256349149,0.3128330453177509,audioldm2_ddim_hparam_cfgsrc3.0_cfgtar6.0_t100_s200
ddim,100,12.0,115,4.83362410645554,0.055997522320469284,18.525421481193675,0.5783599884099664,0.3665700107223622,0.009530033230021944,0.309718687929537,0.01450212561745627,0.20753800007717116,0.360108673726411,audioldm2_ddim_hparam_cfgsrc3.0_cfgtar12.0_t100_s200
ddim,100,18.0,115,5.079887618416338,0.0548391533237475,18.106630222559453,0.5310271610376827,0.3710282227891742,0.009486014605152842,0.32880348177302793,0.013052098470381092,0.2231745230074486,0.37869859804277833,audioldm2_ddim_hparam_cfgsrc3.0_cfgtar18.0_t100_s200
ddim,150,3.0,115,5.1890958376404654,0.06962739329721365,18.36057985556336,0.5538605016733119,0.28790207784048294,0.013243630144942285,0.2495780817091303,0.013679887331509764,0.20642013026644354,0.35044690339785556,audioldm2_ddim_hparam_cfgsrc3.0_cfgtar3.0_t150_s200
ddim,150,6.0,115,5.38137319185719,0.0641315296795811,17.771119459761216,0.5031139146210882,0.3570980215520746,0.010042168185779961,0.3333786952430787,0.012978621578306973,0.25686273821427125,0.40862207874331785,audioldm2_ddim_hparam_cfgsrc3.0_cfgtar6.0_t150_s200
ddim,150,12.0,115,5.736152681534334,0.05467246992992139,16.66935775959906,0.4183715996618099,0.3675359426945926,0.009811701200719529,0.3615516066308255,0.012580592185853851,0.2653529268729946,0.4189195002550664,audioldm2_ddim_hparam_cfgsrc3.0_cfgtar12.0_t150_s200
ddim,150,18.0,115,5.923949539508385,0.051119214177270104,15.93270509171485,0.36723055225527257,0.36952447728895993,0.009945103919706056,0.36844983688839106,0.012579501203450494,0.261022622000588,0.40927770915238754,audioldm2_ddim_hparam_cfgsrc3.0_cfgtar18.0_t150_s200
ddim,200,3.0,115,5.644426415149223,0.07377638210490084,17.135145203335075,0.4743146975679338,0.270827125027394,0.013332260563764818,0.26653432871174554,0.014897088433623279,0.22488976128237403,0.3701604718018485,audioldm2_ddim_hparam_cfgsrc3.0_cfgtar3.0_t200_s200
ddim,200,6.0,115,5.778471724241664,0.0600308486362642,16.204340970792416,0.43016620439092784,0.34494620940538107,0.010354397740904672,0.33939140026417114,0.01392910473179561,0.2638996192942495,0.4130411853932816,audioldm2_ddim_hparam_cfgsrc3.0_cfgtar6.0_t200_s200
ddim,200,12.0,115,6.071266871643857,0.05298985536937807,14.766541504066428,0.3451914470536824,0.34533133247416026,0.010637965459107593,0.33882013766661934,0.013233717869762357,0.2580347749688055,0.38748882328686507,audioldm2_ddim_hparam_cfgsrc3.0_cfgtar12.0_t200_s200
ddim,200,18.0,115,6.228254663801095,0.04953590876785824,14.069617917397705,0.30187330601426715,0.3511019252897018,0.010550527957419412,0.34386514428517095,0.012899617720956684,0.2536362403922755,0.3804651555321787,audioldm2_ddim_hparam_cfgsrc3.0_cfgtar18.0_t200_s200
ddpm,50,3.0,115,3.8899801626067236,0.0404248276238205,19.279588548066673,0.6894699249683124,0.2541220809370433,0.011394833459981853,0.175022640382952,0.01692642334331885,0.024988909029280353,0.11645307723513763,audioldm2_ddpm_hparam_cfgsrc3.0_cfgtar3.0_t50_s200
