arm,tstart,steps,nfe,depth,t_max,cfg_tar,n,run,lpaps,lpaps_sem,clap,clap_sem,muq,muq_sem
DDIM Inv.,100,400,400,25,199,3.0,696,audioldm2_ddim_nolora_full_nfe400_t100_s400_cfgtar3.0,3.853731502891076,0.018178906211677413,0.24508749776848213,0.004443041862287892,0.16051419585610033,0.006760647328834887
DDIM Inv.,100,300,400,33,298,3.0,696,audioldm2_ddim_nolora_full_nfe400_t100_s300_cfgtar3.0,3.8995153505658933,0.01878818269017491,0.2515585925860882,0.004381721656448864,0.16542470037981322,0.0066918549621537956
DDIM Inv.,100,200,400,50,496,3.0,696,audioldm2_ddim_nolora_full_nfe400_t100_s200_cfgtar3.0,4.295680623889361,0.02227989578366125,0.28799747035987255,0.004058188367157471,0.20013433624676666,0.006450917634226684
DDIM Inv.,100,133,400,75,694,3.0,696,audioldm2_ddim_nolora_full_nfe400_t100_s133_cfgtar3.0,5.036174311740481,0.02509834345424574,0.2837530116139953,0.004890891320012574,0.23527599191065643,0.006090355336987747
DDIM Inv.,100,100,400,100,991,3.0,696,audioldm2_ddim_nolora_full_nfe400_t100_s100_cfgtar3.0,5.651121212475992,0.027126258019114075,0.2631114018671727,0.0057905561079414965,0.24731830221797532,0.006152102719853993
DDIM Inv.,100,400,400,25,199,6.0,696,audioldm2_ddim_nolora_full_nfe400_t100_s400_cfgtar6.0,3.860839578969334,0.018078406738477493,0.251755214847415,0.004433909722031494,0.1667336171481895,0.006757322159807196
DDIM Inv.,100,300,400,33,298,6.0,696,audioldm2_ddim_nolora_full_nfe400_t100_s300_cfgtar6.0,3.936083250513609,0.019008043960084008,0.26574623912866635,0.004354057491917453,0.18066799560619984,0.006642176864730285
DDIM Inv.,100,200,400,50,496,6.0,696,audioldm2_ddim_nolora_full_nfe400_t100_s200_cfgtar6.0,4.466341962806828,0.0234933830553172,0.3278658494488873,0.0038014994751790067,0.2545831981769043,0.006303134538497029
DDIM Inv.,100,133,400,75,694,6.0,696,audioldm2_ddim_nolora_full_nfe400_t100_s133_cfgtar6.0,5.206701136542332,0.025069149382782444,0.35156573161744253,0.003954539259389128,0.3188523126283698,0.005517438499167848
DDIM Inv.,100,100,400,100,991,6.0,696,audioldm2_ddim_nolora_full_nfe400_t100_s100_cfgtar6.0,5.764622995255747,0.0252378794746195,0.34036941739010695,0.004368822154891739,0.330470995715921,0.005567387484684384
DDIM Inv.,100,400,400,25,199,9.0,696,audioldm2_ddim_nolora_full_nfe400_t100_s400_cfgtar9.0,3.8906862088090155,0.01819545404835076,0.2578745643420077,0.004418905944592777,0.17252126957247055,0.006728574287857982
DDIM Inv.,100,300,400,33,298,9.0,696,audioldm2_ddim_nolora_full_nfe400_t100_s300_cfgtar9.0,4.013814143658696,0.019431093559627247,0.27768344233572945,0.0043121560162890015,0.19354595284876897,0.0065925295106146475
DDIM Inv.,100,200,400,50,496,9.0,696,audioldm2_ddim_nolora_full_nfe400_t100_s200_cfgtar9.0,4.664502289410033,0.02384788186912864,0.3462505048894428,0.0036656691191279413,0.2821051937995623,0.005939048630912701
DDIM Inv.,100,133,400,75,694,9.0,696,audioldm2_ddim_nolora_full_nfe400_t100_s133_cfgtar9.0,5.400260333225058,0.02388057639489471,0.370561151454811,0.0036656443623640914,0.3472690554268808,0.005191489154339842
DDIM Inv.,100,100,400,100,991,9.0,696,audioldm2_ddim_nolora_full_nfe400_t100_s100_cfgtar9.0,5.931503575567215,0.022717280253382637,0.3489271932292163,0.004150058702323359,0.3416331645540208,0.0054144782926659404
DDIM Inv.,100,400,400,25,199,12.0,696,audioldm2_ddim_nolora_full_nfe400_t100_s400_cfgtar12.0,3.9299317183255433,0.018378224223773613,0.2634328591283384,0.004410369908082864,0.17769665722295325,0.006700706758306223
DDIM Inv.,100,300,400,33,298,12.0,696,audioldm2_ddim_nolora_full_nfe400_t100_s300_cfgtar12.0,4.100841904588586,0.019832263847397516,0.2872573358203174,0.004269593466054411,0.20461222334030946,0.0065699969780864285
DDIM Inv.,100,200,400,50,496,12.0,696,audioldm2_ddim_nolora_full_nfe400_t100_s200_cfgtar12.0,4.830023649539625,0.02357301754323534,0.3565871088992115,0.003557792707783683,0.3006063971812997,0.00560607409910131
DDIM Inv.,100,133,400,75,694,12.0,696,audioldm2_ddim_nolora_full_nfe400_t100_s133_cfgtar12.0,5.5484333084175415,0.0227304669830187,0.3781483373801081,0.003559979820264118,0.3588088401031263,0.004998010296459826
DDIM Inv.,100,100,400,100,991,12.0,696,audioldm2_ddim_nolora_full_nfe400_t100_s100_cfgtar12.0,6.049809329344656,0.02149598747098459,0.35031827038519625,0.004176000935922324,0.3425763185776973,0.005351333293877004
DDIM Inv.,100,400,400,25,199,15.0,696,audioldm2_ddim_nolora_full_nfe400_t100_s400_cfgtar15.0,3.9757298832383063,0.018552199115718,0.26849570669255207,0.004387769756043783,0.18250232151816212,0.006670759533497882
DDIM Inv.,100,300,400,33,298,15.0,696,audioldm2_ddim_nolora_full_nfe400_t100_s300_cfgtar15.0,4.187619783017697,0.020156493427505272,0.29472851135003236,0.004222200077994802,0.21327808132000742,0.006532212429820407
DDIM Inv.,100,200,400,50,496,15.0,696,audioldm2_ddim_nolora_full_nfe400_t100_s200_cfgtar15.0,4.964450768624816,0.02318816630323476,0.3620555648170924,0.0034882524389359586,0.31213724401902576,0.0053868197417588255
DDIM Inv.,100,133,400,75,694,15.0,696,audioldm2_ddim_nolora_full_nfe400_t100_s133_cfgtar15.0,5.664861609686021,0.021921367649495198,0.3797379218738493,0.003533043179058442,0.36428832879672013,0.004890688594784057
