arm,cfg_tar,tstart,n,lpaps,lpaps_sem,clap,clap_sem,muq,muq_sem,clap_dir,clap_dir_sem,mulan_dir,mulan_dir_sem
DDPM-inv,3.5,25,115,1.5508745858461959,0.02577465275163215,0.19520325098186728,0.010594408238153783,0.11872988932401589,0.011438580742261664,0.02602849405906769,0.010702207669682069,0.0427214889017784,0.014220135016536975
DDPM-inv,3.5,50,115,2.1059614060322445,0.0545295439247784,0.2384284638262529,0.010153246908079928,0.1542598958613108,0.011801108483497786,0.10177345407073912,0.01223801682293947,0.12067133016560389,0.016576965579707236
DDPM-inv,3.5,75,115,3.1013580771200893,0.0930384315721433,0.26817053187125617,0.010127507840050544,0.17502059943812048,0.012279173418204375,0.14094080068171025,0.013867790663355304,0.14864915712210147,0.0158961629445888
DDPM-inv,3.5,99,115,3.135083355713582,0.09338861437046644,0.2684514231037726,0.010102540383347203,0.1753833855988215,0.012339213672343365,0.13871370176582232,0.014098514541483498,0.14622705043495998,0.0159515376813423
ODEInv (no LoRA),3.5,25,115,1.4087547316283417,0.022662439347690765,0.19814827847645441,0.010638704369734025,0.12214970050541601,0.011629324813627807,0.042499033454805595,0.01066698246404327,0.038892703883997765,0.01398829682443909
ODEInv (no LoRA),3.5,50,115,3.5918989559273795,0.07597796252434853,0.28062081412088286,0.00976414100810081,0.20933414495185665,0.01235639694394405,0.16907830924686532,0.013881651651451428,0.13536885609121427,0.01805905151464174
ODEInv (no LoRA),3.5,75,115,4.779457406876744,0.08133911031050478,0.3002999578487883,0.009211145245565572,0.2512339936123918,0.013072686433533499,0.1937398480170447,0.013873009015769927,0.16625582906215086,0.017919035904987685
ODEInv (no LoRA),3.5,99,115,4.892082811248476,0.08163023879398883,0.29649805993678563,0.009222032426702808,0.25102448499073154,0.013093599641471226,0.19030243082214957,0.01374822191694397,0.17250276595030142,0.01764324975450018
ODEInv + LoRA @4000,3.5,25,115,1.4015039323723832,0.023225902857130044,0.19949234981116823,0.010624407936837338,0.12119758016146395,0.01168849642274882,0.034693909169215206,0.010729250843355695,0.03890078399006439,0.014153146589623284
ODEInv + LoRA @4000,3.5,50,115,3.454079534497814,0.07612897546950886,0.28480029501473064,0.010001503840329435,0.20778975449502468,0.012235558907558881,0.16767113557814256,0.01377316131693676,0.13740273398225722,0.018315459228270152
ODEInv + LoRA @4000,3.5,75,115,4.646859124276949,0.0835721828546936,0.3056596426846648,0.009326147195483489,0.2515270598880623,0.013258488072186067,0.1964943263841712,0.01399646665665118,0.17308817506646332,0.01779023501103102
ODEInv + LoRA @4000,3.5,99,115,4.777772069037823,0.08359394755818975,0.3039790590096644,0.00909075743764773,0.25576394726724727,0.013489867170560152,0.19284919146448373,0.013896149022890235,0.17898717915396328,0.017646276486887307
SDEdit,3.5,25,115,3.546323309065639,0.041674037984306626,0.1957018815318419,0.010887896442273457,0.12302840920165181,0.012531209322684518,0.03734147069246872,0.011504564510937017,0.04569903682593417,0.013979742142323484
SDEdit,3.5,50,115,5.6188517636147095,0.04556050777787175,0.3120725969775863,0.008801575149434736,0.24741111017723122,0.013721438123851433,0.16003028288807558,0.01430549081272189,0.18308086672230908,0.01594833537388992
SDEdit,3.5,75,115,6.1372268810134,0.04449939333947912,0.3279089441441971,0.008650578512926943,0.27566595150400763,0.012683353645506133,0.19829202960852696,0.014641324533162615,0.19448645467991416,0.016743251628602518
SDEdit,3.5,99,115,6.167632244427998,0.04423687230936838,0.32897624611976034,0.008266347559375001,0.2794002844795139,0.012911001012110773,0.20354017965981494,0.014269957793448567,0.20020829697503992,0.017361035701383042
